00:03:54.235 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested. 
00:03:54.240 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@f8c1ddd: startup date [Thu Dec 06 23:51:03 IST 2018]; root of context hierarchy 
00:03:54.271 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 0 
00:03:54.271 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.b.a.e.jmx.EndpointMBeanExporter - Unregistering JMX-exposed beans on shutdown 
00:03:54.271 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.b.a.e.jmx.EndpointMBeanExporter - Unregistering JMX-exposed beans 
00:03:54.271 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown 
00:03:54.287 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default' 
00:04:06.896 [main] INFO  com.franco.app.FrancoApplication - Starting FrancoApplication on Sachin with PID 2996 (C:\Users\Admin\git\francoservices\target\classes started by Admin in C:\Users\Admin\git\francoservices) 
00:04:06.912 [main] INFO  com.franco.app.FrancoApplication - No active profile set, falling back to default profiles: default 
00:04:07.006 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@f8c1ddd: startup date [Fri Dec 07 00:04:07 IST 2018]; root of context hierarchy 
00:04:07.256 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final 
